poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
271,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,168,LULUS,LULU'S FASHION LOUNGE,222378,0,                    ,LULUS,                    ,Style,EDD1124,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,2,53,142,191,0,1,11,0,0,0,0,0,0,0,0,400,12.2,4880,,STANFORD,5/28/2026,,,12.2,4880,0,400,NEW,XXS / 2,XS / 53,S / 142,M / 191,L / 0,XL / 1,XXL / 11,,,,,,,,
272,4/30/2026,5/28/2026,STENUE,5/21/2026,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,169,LULUS,LULU'S FASHION LOUNGE,222379,0,                    ,LULUS,                    ,Style,FRD2215,SAGE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,16,117,146,78,43,0,0,0,0,0,0,0,0,0,405,22,8910,,STANFORD,5/28/2026,,,22,8910,367,38,NEW,XXS / 5,XS / 16,S / 117,M / 146,L / 78,XL / 43,XXL / 0,,,,,,,,
273,4/30/2026,5/28/2026,STENUE,5/21/2026,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,169,LULUS,LULU'S FASHION LOUNGE,222379,0,                    ,LULUS,                    ,Style,FRD2215P,SAGE,Closed,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,23.5,352.5,,STANFORD,5/28/2026,,,23.5,352.5,13,2,NEW,1X / 5,2X / 5,3X / 5,,,,,,,,,,,,
274,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,171,LULUS,LULU'S FASHION LOUNGE,222592,0,                    ,LULUS,                    ,Style,FRD1989,CREAM,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,6,55,126,124,81,58,5,0,0,0,0,0,0,0,0,455,16.8,7644,,STANFORD,5/28/2026,,,16.8,7644,0,455,NEW,XXS / 6,XS / 55,S / 126,M / 124,L / 81,XL / 58,XXL / 5,,,,,,,,
275,4/30/2026,5/28/2026,STENUE,5/21/2026,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,172,LULUS,LULU'S FASHION LOUNGE,222675,0,                    ,LULUS,                    ,Style,SET8367VB,CREAM SHINY CLEAR,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,65,112,74,38,11,0,0,0,0,0,0,0,0,0,0,300,10.2,3060,,STANFORD,5/28/2026,,,10.2,3060,314,-14,NEW,XS / 65,S / 112,M / 74,L / 38,XL / 11,,,,,,,,,,
276,4/30/2026,5/28/2026,STENUE,5/21/2026,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,172,LULUS,LULU'S FASHION LOUNGE,222675,0,                    ,LULUS,                    ,Style,SET8367VT,CREAM SHINY CLEAR,Closed,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,67,122,67,41,2,0,0,0,0,0,0,0,0,0,0,299,6.8,2033.2,,STANFORD,5/28/2026,,,6.8,2033.2,307,-8,NEW,XS / 67,S / 122,M / 67,L / 41,XL / 2,,,,,,,,,,
277,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,6/19/2026,,ELEVATOR DISCO,                    ,173,LULUS,LULU'S FASHION LOUNGE,222854,0,                    ,LULUS,                    ,Style,FRD2215,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,71,161,100,54,14,0,0,0,0,0,0,0,0,0,405,22,8910,,STANFORD,5/28/2026,,,22,8910,0,405,NEW,XXS / 5,XS / 71,S / 161,M / 100,L / 54,XL / 14,XXL / 0,,,,,,,,
278,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,,,ELEVATOR DISCO,                    ,173,LULUS,LULU'S FASHION LOUNGE,222854,0,                    ,LULUS,                    ,Style,FRD2215P,BLACK,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23.5,117.5,,STANFORD,5/28/2026,,,23.5,117.5,0,5,NEW,1X / 5,2X / 0,3X / 0,,,,,,,,,,,,
278,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,,,ELEVATOR DISCO,                    ,173,LULUS,LULU'S FASHION LOUNGE,222854,0,                    ,LULUS,                    ,Style,FRD2215P,BLACK,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,25,250,,STANFORD,5/28/2026,,,23.5,235,0,10,NEW,1X / 0,2X / 5,3X / 5,,,,,,,,,,,,
279,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,174,LULUS,LULU'S FASHION LOUNGE,222867,0,                    ,LULUS,                    ,Style,FRD2215,BURGUNDY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,71,161,100,54,14,0,0,0,0,0,0,0,0,0,405,22,8910,,STANFORD,5/28/2026,,,22,8910,0,405,NEW,XXS / 5,XS / 71,S / 161,M / 100,L / 54,XL / 14,XXL / 0,,,,,,,,
280,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,174,LULUS,LULU'S FASHION LOUNGE,222867,0,                    ,LULUS,                    ,Style,FRD2215P,BURGUNDY,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,15,23.5,352.5,,STANFORD,5/28/2026,,,23.5,352.5,0,15,NEW,1X / 5,2X / 5,3X / 5,,,,,,,,,,,,
281,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,5/28/2026,6/12/2026,,ELEVATOR DISCO,MATSON,175,LULUS,LULU'S FASHION LOUNGE,222858,0,                    ,LULUS,                    ,Style,SET8314BP,NAVY IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,57,118,118,58,29,0,0,0,0,0,0,0,0,0,380,7.8,2964,,STANFORD,5/28/2026,,,6.4,2432,0,380,NEW,XXS / 0,XS / 57,S / 118,M / 118,L / 58,XL / 29,XXL / 0,,,,,,,,
282,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,5/28/2026,6/12/2026,,ELEVATOR DISCO,MATSON,175,LULUS,LULU'S FASHION LOUNGE,222858,0,                    ,LULUS,                    ,Style,SET8314BT,NAVY IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,58,111,123,58,30,0,0,0,0,0,0,0,0,0,380,5,1900,,STANFORD,5/28/2026,,,9.3,3534,0,380,NEW,XXS / 0,XS / 58,S / 111,M / 123,L / 58,XL / 30,XXL / 0,,,,,,,,
283,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,176,LULUS,LULU'S FASHION LOUNGE,223048,0,                    ,LULUS,                    ,Style,EDD1326,BEIGE SHINY GOLD,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,9,49,68,93,37,44,0,0,0,0,0,0,0,0,0,300,15.8,4740,,STANFORD,5/28/2026,,,15.8,4740,0,300,                    ,XXS / 9,XS / 49,S / 68,M / 93,L / 37,XL / 44,XXL / 0,,,,,,,,
284,4/30/2026,5/28/2026,GF,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,177,LULUS,LULU'S FASHION LOUNGE,223057,0,                    ,LULUS,                    ,Style,FRD1947,OLIVE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,68,147,129,62,34,5,0,0,0,0,0,0,0,0,450,12.5,5625,,STANFORD,5/28/2026,,,12.5,5625,0,450,NEW,XXS / 5,XS / 68,S / 147,M / 129,L / 62,XL / 34,XXL / 5,,,,,,,,
285,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,178,LULUS,LULU'S FASHION LOUNGE,223344,0,                    ,LULUS,                    ,Style,SET8375VDS,DENIM BLUE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,51,94,91,42,22,0,0,0,0,0,0,0,0,0,300,9,2700,,STANFORD,5/28/2026,,,9,2700,0,300,NEW,XXS / 0,XS / 51,S / 94,M / 91,L / 42,XL / 22,XXL / 0,,,,,,,,
286,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,178,LULUS,LULU'S FASHION LOUNGE,223344,0,                    ,LULUS,                    ,Style,SET8375VDT,DENIM BLUE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,45,93,93,46,23,0,0,0,0,0,0,0,0,0,300,6.2,1860,,STANFORD,5/28/2026,,,6.2,1860,0,300,NEW,XXS / 0,XS / 45,S / 93,M / 93,L / 46,XL / 23,XXL / 0,,,,,,,,
287,4/30/2026,5/28/2026,STENUE,5/19/2026,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,179,LULUS,LULU'S FASHION LOUNGE,223381,0,                    ,LULUS,                    ,Style,FSET8043M,SAGE,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,6,8,91,134,85,20,6,0,0,0,0,0,0,0,0,350,13,4550,,STANFORD,5/28/2026,,,13,4550,302,48,NEW,XXS / 6,XS / 8,S / 91,M / 134,L / 85,XL / 20,XXL / 6,,,,,,,,
288,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,180,LULUS,LULU'S FASHION LOUNGE,223571,0,                    ,LULUS,                    ,Style,ES3537V,NAVY WHITE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,51,94,91,42,22,0,0,0,0,0,0,0,0,0,300,7.9,2370,,STANFORD,5/28/2026,,,7.9,2370,0,300,NEW,XXS / 0,XS / 51,S / 94,M / 91,L / 42,XL / 22,XXL / 0,,,,,,,,
289,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/5/2026,6/19/2026,,ELEVATOR DISCO,                    ,181,LULUS,LULU'S FASHION LOUNGE,223572,0,                    ,LULUS,SKIRTS,Style,ES3537AV,LVNDR/IVO/ORANGE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,51,94,91,42,22,0,0,0,0,0,0,0,0,0,300,15,4500,,STANFORD,5/28/2026,,,15,4500,0,300,NEW,XXS / 0,XS / 51,S / 94,M / 91,L / 42,XL / 22,XXL / 0,,,,,,,,
290,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,182,LULUS,LULU'S FASHION LOUNGE,223590,0,                    ,LULUS,                    ,Style,SETD1072,IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,6,50,98,99,36,11,0,0,0,0,0,0,0,0,0,300,10.2,3060,,STANFORD,5/28/2026,,,10.2,3060,0,300,NEW,XXS / 6,XS / 50,S / 98,M / 99,L / 36,XL / 11,XXL / 0,,,,,,,,
291,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,183,LULUS,LULU'S FASHION LOUNGE,223632,0,                    ,LULUS,                    ,Style,FRD1806,IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,20,143,236,155,95,50,0,0,0,0,0,0,0,0,0,699,15.8,11044.2,,STANFORD,5/28/2026,,,15.8,11044.2,0,699,NEW,XXS / 20,XS / 143,S / 236,M / 155,L / 95,XL / 50,XXL / 0,,,,,,,,
292,4/30/2026,5/28/2026,STENUE,1/1/1900,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,184,LULUS,LULU'S FASHION LOUNGE,223659,0,                    ,LULUS,                    ,Style,FRD2204,PALE YELLOW,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,43,140,114,41,8,0,0,0,0,0,0,0,0,0,351,13.2,4633.2,,STANFORD,5/28/2026,NO FABRIC,5/7/2026,13.2,4633.2,0,351,NEW,XXS / 5,XS / 43,S / 140,M / 114,L / 41,XL / 8,XXL / 0,,,,,,,,
293,4/30/2026,,STENUE,1/1/1900,Open,PO,,,,,,,6/25/2026,7/17/2026,,ELEVATOR DISCO,MATSON,185,LULUS,LULU'S FASHION LOUNGE,223760,0,                    ,LULUS,SKIRTS,Style,ES3307A,DK OLIVE PINK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,51,94,91,42,22,0,0,0,0,0,0,0,0,0,300,9.8,2940,,STANFORD,,,,0,0,0,300,NEW,XXS / 0,XS / 51,S / 94,M / 91,L / 42,XL / 22,XXL / 0,,,,,,,,
294,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,186,LULUS,LULU'S FASHION LOUNGE,223810,0,                    ,LULUS,                    ,Style,ED1435,MUSTARD WHITE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,40,97,83,47,25,4,0,0,0,0,0,0,0,0,301,10,3010,,STANFORD,5/28/2026,,,10,3010,0,301,NEW,XXS / 5,XS / 40,S / 97,M / 83,L / 47,XL / 25,XXL / 4,,,,,,,,
295,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,187,LULUS,LULU'S FASHION LOUNGE,223960,0,                    ,LULUS,                    ,Style,EDD1326,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,37,76,90,51,46,5,0,0,0,0,0,0,0,0,310,15.8,4898,,STANFORD,5/28/2026,,,15.8,4898,0,310,NEW,XXS / 5,XS / 37,S / 76,M / 90,L / 51,XL / 46,XXL / 5,,,,,,,,
296,4/30/2026,5/28/2026,STENUE,1/1/1900,Closed,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,188,LULUS,LULU'S FASHION LOUNGE,223961,0,                    ,LULUS,                    ,Style,FRD1989,NAVY,Closed,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,27,46,89,134,50,5,0,0,0,0,0,0,0,0,351,17.5,6142.5,,STANFORD,5/28/2026,,,16.8,5896.8,0,351,NEW,XXS / 0,XS / 27,S / 46,M / 89,L / 134,XL / 50,XXL / 5,,,,,,,,
297,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,189,LULUS,LULU'S FASHION LOUNGE,223976,0,                    ,LULUS,                    ,Style,SETD1072GP,GREEN PRINT,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,31,84,83,33,18,0,0,0,0,0,0,0,0,0,249,10.2,2539.8,,STANFORD,5/28/2026,,,10.2,2539.8,0,249,NEW,XXS / 0,XS / 31,S / 84,M / 83,L / 33,XL / 18,XXL / 0,,,,,,,,
298,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,190,LULUS,LULU'S FASHION LOUNGE,223995,0,                    ,LULUS,                    ,Style,EDD1125,ROYAL BLUE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,72,125,117,44,27,10,0,0,0,0,0,0,0,0,400,13.8,5520,,STANFORD,5/28/2026,,,13.8,5520,0,400,NEW,XXS / 5,XS / 72,S / 125,M / 117,L / 44,XL / 27,XXL / 10,,,,,,,,
299,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,191,LULUS,LULU'S FASHION LOUNGE,224094,0,                    ,LULUS,                    ,Style,FRD2066,IVORY IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,41,89,91,77,52,0,0,0,0,0,0,0,0,0,350,16.9,5915,,STANFORD,5/28/2026,,,16.9,5915,0,350,NEW,XXS / 0,XS / 41,S / 89,M / 91,L / 77,XL / 52,XXL / 0,,,,,,,,
300,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,192,LULUS,LULU'S FASHION LOUNGE,224120,0,                    ,LULUS,                    ,Style,FRD2249,OLIVE SHINY OLIVE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,47,101,104,88,60,0,0,0,0,0,0,0,0,0,400,14.7,5880,,STANFORD,5/28/2026,,,14.7,5880,0,400,NEW,XXS / 0,XS / 47,S / 101,M / 104,L / 88,XL / 60,XXL / 0,,,,,,,,
301,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,193,LULUS,LULU'S FASHION LOUNGE,224209,0,                    ,LULUS,TOPS,Style,SETD1066T,RED WHITE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,35,83,79,36,17,0,0,0,0,0,0,0,0,0,250,7.7,1925,,STANFORD,5/28/2026,,,7.7,1925,0,250,NEW,XXS / 0,XS / 35,S / 83,M / 79,L / 36,XL / 17,XXL / 0,,,,,,,,
302,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,194,LULUS,LULU'S FASHION LOUNGE,224226,0,                    ,LULUS,                    ,Style,ED1649D,GREEN FLORAL,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,13,50,147,162,50,26,4,0,0,0,0,0,0,0,0,452,11.2,5062.4,,STANFORD,5/28/2026,,,11.2,5062.4,0,452,NEW,XXS / 13,XS / 50,S / 147,M / 162,L / 50,XL / 26,XXL / 4,,,,,,,,
303,4/30/2026,,GF,1/1/1900,Open,PO,,,,,,,6/25/2026,7/16/2026,,ELEVATOR DISCO,                    ,195,LULUS,LULU'S FASHION LOUNGE,224233,0,                    ,LULUS,                    ,Style,FRD1947,BLACK,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,43,94,85,44,25,4,0,0,0,0,0,0,0,0,300,12.5,3750,,STANFORD,,,,12.5,3750,0,300,NEW,XXS / 5,XS / 43,S / 94,M / 85,L / 44,XL / 25,XXL / 4,,,,,,,,
304,4/30/2026,5/28/2026,INLOOK,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,196,LULUS,LULU'S FASHION LOUNGE,224266,0,                    ,LULUS,                    ,Style,FRD1226,IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,8,55,97,136,70,32,3,0,0,0,0,0,0,0,0,401,14,5614,,STANFORD,5/28/2026,,,14,5614,0,401,NEW,XXS / 8,XS / 55,S / 97,M / 136,L / 70,XL / 32,XXL / 3,,,,,,,,
305,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,197,LULUS,LULU'S FASHION LOUNGE,224267,0,                    ,LULUS,                    ,Style,EDX2047,LIME GREEN,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,56,99,95,58,29,8,0,0,0,0,0,0,0,0,350,10.5,3675,,STANFORD,5/28/2026,,,10.5,3675,0,350,NEW,XXS / 5,XS / 56,S / 99,M / 95,L / 58,XL / 29,XXL / 8,,,,,,,,
306,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,198,LULUS,LULU'S FASHION LOUNGE,224297,0,                    ,LULUS,                    ,Style,FRD2204,NAVY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,0,79,115,64,42,0,0,0,0,0,0,0,0,0,305,13.2,4026,,STANFORD,5/28/2026,,,13.2,4026,0,305,NEW,XXS / 5,XS / 0,S / 79,M / 115,L / 64,XL / 42,XXL / 0,,,,,,,,
307,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,199,LULUS,LULU'S FASHION LOUNGE,224363,0,                    ,LULUS,                    ,Style,FSET8043A,CHAMPAGNE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,3,27,60,65,29,12,3,0,0,0,0,0,0,0,0,199,13.2,2626.8,,STANFORD,5/28/2026,,,13.2,2626.8,0,199,NEW,XXS / 3,XS / 27,S / 60,M / 65,L / 29,XL / 12,XXL / 3,,,,,,,,
308,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,200,LULUS,LULU'S FASHION LOUNGE,224428,0,                    ,LULUS,                    ,Style,FRD2204,DEEP PLUM,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,49,94,97,70,40,0,0,0,0,0,0,0,0,0,355,13.2,4686,,STANFORD,5/28/2026,,,13.2,4686,0,355,NEW,XXS / 5,XS / 49,S / 94,M / 97,L / 70,XL / 40,XXL / 0,,,,,,,,
309,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,201,LULUS,LULU'S FASHION LOUNGE,224431,0,                    ,LULUS,                    ,Style,FSET8043C,CRM/PNK/BUR STRIPE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,37,99,96,38,20,5,0,0,0,0,0,0,0,0,300,12.8,3840,,STANFORD,5/28/2026,,,12.8,3840,0,300,NEW,XXS / 5,XS / 37,S / 99,M / 96,L / 38,XL / 20,XXL / 5,,,,,,,,
310,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,202,LULUS,LULU'S FASHION LOUNGE,224433,0,                    ,LULUS,                    ,Style,SETD1072,BURGUNDY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,38,101,100,40,22,0,0,0,0,0,0,0,0,0,301,10.2,3070.2,,STANFORD,5/28/2026,,,10.2,3070.2,0,301,NEW,XXS / 0,XS / 38,S / 101,M / 100,L / 40,XL / 22,XXL / 0,,,,,,,,
311,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,203,LULUS,LULU'S FASHION LOUNGE,224434,0,                    ,LULUS,                    ,Style,FSET8043M,SAGE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,5,36,100,98,39,18,5,0,0,0,0,0,0,0,0,301,13,3913,,STANFORD,5/28/2026,,,13,3913,0,301,NEW,XXS / 5,XS / 36,S / 100,M / 98,L / 39,XL / 18,XXL / 5,,,,,,,,
312,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,204,LULUS,LULU'S FASHION LOUNGE,224854,0,                    ,LULUS,                    ,Style,FSET8043BRD,IVORY,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,7,28,114,120,59,18,5,0,0,0,0,0,0,0,0,351,13.2,4633.2,,STANFORD,5/28/2026,,,13.2,4633.2,0,351,NEW,XXS / 7,XS / 28,S / 114,M / 120,L / 59,XL / 18,XXL / 5,,,,,,,,
313,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,MATSON,205,LULUS,LULU'S FASHION LOUNGE,224855,0,                    ,LULUS,                    ,Style,FRJ6044S,CHAMPAGNE,Open,XXS,XS,S,M,L,XL,XXL,          ,          ,          ,          ,          ,          ,          ,          ,0,71,121,67,25,16,0,0,0,0,0,0,0,0,0,300,6.8,2040,,STANFORD,5/28/2026,,,6.8,2040,0,300,NEW,XXS / 0,XS / 71,S / 121,M / 67,L / 25,XL / 16,XXL / 0,,,,,,,,
314,4/30/2026,5/28/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/30/2026,5/28/2026,4/30/2026,ELEVATOR DISCO,                    ,1357,ANTHROPOLOGIE,ANTHROPOLOGIE,6954479,0,FW26,26-Jul,SKIRTS,Style,EVB3005,CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,13,12,7,0,0,0,0,0,0,0,0,0,0,0,40,10.7,428,,STANFORD,5/28/2026,,,10.7,428,0,40,NEW,XS / 8,S / 13,M / 12,L / 7,XL / 0,,,,,,,,,,
315,4/30/2026,,INLOOK,1/1/1900,Open,PO,,,,,,,9/3/2026,9/23/2026,4/30/2026,ELEVATOR DISCO,MATSON,1358,ANTHROPOLOGIE,ANTHROPOLOGIE,6954480,0,FW26,26-Sep,SKIRTS,Style,EVB3053,BLACK,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,19,18,10,0,0,0,0,0,0,0,0,0,0,0,60,16.75,1005,                    ,STANFORD,5/28/2026,,,15,900,0,60,NEW,XS / 13,S / 19,M / 18,L / 10,XL / 0,,,,,,,,,,
