poNo,poDate,etaDate,vendor,recDate,status,cutPo,user1,user2,user3,user4,user5,user6,startDate,cancelDate,shipDate,division,shipVia,orderNo,customer,custName,customerPo,parentPoNo,season,grp,category,compType,style,color,podStatus,size1,size2,size3,size4,size5,size6,size7,size8,size9,size10,size11,size12,size13,size14,size15,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,totalUnit,price,extPrice,uom,warehouse,podEtaDate,cancelReason,cancelReasonDate,cost,extCost,recQty,balQty,soType,unit1,unit2,unit3,unit4,unit5,unit6,unit7,unit8,unit9,unit10,unit11,unit12,unit13,unit14,unit15
22,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,11,ANTHROPOLOGIE,ANTHROPOLOGIE,6764609,0,SS26,26-Jun,DRESSES,Style,CD1020,PINK CREAM,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,12,22,21,13,7,0,0,0,0,0,0,0,0,0,0,75,14.6,1095,,STANFORD,5/18/2026,,,14.6,1095,0,75,NEW,XS / 12,S / 22,M / 21,L / 13,XL / 7,,,,,,,,,,
23,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,12,ANTHROPOLOGIE,ANTHROPOLOGIE,6764616,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,7,11,11,7,4,0,0,0,0,0,0,0,0,0,0,40,15.6,624,,STANFORD,5/18/2026,,,15.6,624,0,40,NEW,XS / 7,S / 11,M / 11,L / 7,XL / 4,,,,,,,,,,
24,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,12,ANTHROPOLOGIE,ANTHROPOLOGIE,6764616,0,SS26,26-Jun,DRESSES,Style,CD1011PL,SAGE GREEN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,20,15.6,312,,STANFORD,5/18/2026,,,15.6,312,0,20,NEW,1X / 8,2X / 8,3X / 4,,,,,,,,,,,,
25,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,12,ANTHROPOLOGIE,ANTHROPOLOGIE,6764616,0,SS26,26-Jun,DRESSES,Style,CD1011PT,SAGE GREEN,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,5,6,5,4,1,0,0,0,0,0,0,0,0,0,0,21,15.6,327.6,,STANFORD,5/18/2026,,,15.6,327.6,0,21,NEW,XS PT / 5,S PT / 6,M PT / 5,L PT / 4,XL PT / 1,,,,,,,,,,
26,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,13,ANTHROPOLOGIE,ANTHROPOLOGIE,6764617,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,9,17,17,11,6,0,0,0,0,0,0,0,0,0,0,60,15.6,936,,STANFORD,5/18/2026,,,15.6,936,0,60,NEW,XS / 9,S / 17,M / 17,L / 11,XL / 6,,,,,,,,,,
27,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,13,ANTHROPOLOGIE,ANTHROPOLOGIE,6764617,0,SS26,26-Jun,DRESSES,Style,CD1011PT,SAGE GREEN,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,8,9,7,4,1,0,0,0,0,0,0,0,0,0,0,29,15.6,452.4,,STANFORD,5/18/2026,,,15.6,452.4,0,29,NEW,XS PT / 8,S PT / 9,M PT / 7,L PT / 4,XL PT / 1,,,,,,,,,,
28,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,13,ANTHROPOLOGIE,ANTHROPOLOGIE,6764617,0,SS26,26-Jun,DRESSES,Style,CD1011PL,SAGE GREEN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,14,10,6,0,0,0,0,0,0,0,0,0,0,0,0,30,15.6,468,,STANFORD,5/18/2026,,,15.6,468,0,30,NEW,1X / 14,2X / 10,3X / 6,,,,,,,,,,,,
29,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,14,ANTHROPOLOGIE,ANTHROPOLOGIE,6764618,0,SS26,26-Jun,DRESSES,Style,CD1011,SAGE GREEN,Open,XS,S,M,L,XL,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,17,29,27,17,10,0,0,0,0,0,0,0,0,0,0,100,15.6,1560,,STANFORD,5/18/2026,,,15.6,1560,0,100,NEW,XS / 17,S / 29,M / 27,L / 17,XL / 10,,,,,,,,,,
30,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,14,ANTHROPOLOGIE,ANTHROPOLOGIE,6764618,0,SS26,26-Jun,DRESSES,Style,CD1011PL,SAGE GREEN,Open,1X,2X,3X,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,22,18,10,0,0,0,0,0,0,0,0,0,0,0,0,50,15.6,780,,STANFORD,5/18/2026,,,15.6,780,0,50,NEW,1X / 22,2X / 18,3X / 10,,,,,,,,,,,,
31,4/20/2026,5/18/2026,STENUE,1/1/1900,Open,PO,,,,,,,4/20/2026,5/18/2026,4/20/2026,ELEVATOR DISCO,                    ,14,ANTHROPOLOGIE,ANTHROPOLOGIE,6764618,0,SS26,26-Jun,DRESSES,Style,CD1011PT,SAGE GREEN,Open,XS PT,S PT,M PT,L PT,XL PT,          ,          ,          ,          ,          ,          ,          ,          ,          ,          ,13,15,11,7,4,0,0,0,0,0,0,0,0,0,0,50,15.6,780,,STANFORD,5/18/2026,,,15.6,780,0,50,NEW,XS PT / 13,S PT / 15,M PT / 11,L PT / 7,XL PT / 4,,,,,,,,,,
